std_id, name, advanced_programming, data_structure, mathematics2, physic2
222,mahsa,20,12,20,18
222,mahsa,20,12,20,18
222,mahsa,20,12,20,18
222,mahsa,20,12,20,18
222,mahsa,20,12,20,18
222,mahsa,20,12,20,18
222,mahsa,20,12,20,18
222,mahsa,20,12,20,18
222,mahsa,20,12,20,18
222,mahsa,20,12,20,18
222,mahsa,20,12,20,18
222,mahsa,20,12,20,18
222,mahsa,20,12,20,18
222,mahsa,20,12,20,18
222,mahsa,20,12,20,18
222,mahsa,20,12,20,18
222,mahsa,20,12,20,18
222,mahsa,20,12,20,18
222,mahsa,20,12,20,18
222,mahsa,20,12,20,18
222,mahsa,20,12,20,18
222,mahsa,20,12,20,18
222,mahsa,20,12,20,18
222,mahsa,20,12,20,18
222,mahsa,20,12,20,18
222,mahsa,20,12,20,18
222,mahsa,20,12,20,18
222,mahsa,20,12,20,18
222,mahsa,20,12,20,18
222,mahsa,20,12,20,18
